"q","b1.min","b1.max","b2.min","b2.max","b3.min","b3.max"
0,57.195925,57.195925,0,0,0,0
0,57.195925,57.195925,0,0,0,0
0,57.195925,57.195925,0,0,0,0
0,57.195925,57.195925,0,0,0,0
0,57.195925,57.195925,0,0,0,0
0,57.195925,57.195925,0,0,0,0
0,57.195925,57.195925,0,0,0,0
0,57.195925,57.195925,0,0,0,0
0,57.195925,57.195925,0,0,0,0
0,57.195925,57.195925,0,0,0,0
0,57.195925,57.195925,0,0,0,0
0,57.195925,57.195925,0,0,0,0
0,57.195925,57.195925,0,0,0,0
0,57.195925,57.195925,0,0,0,0
0,57.195925,57.195925,0,0,0,0
0,57.195925,57.195925,0,0,0,0
0,57.195925,57.195925,0,0,0,0
0,57.195925,57.195925,0,0,0,0
0,57.195925,57.195925,0,0,0,0
0,57.195925,57.195925,0,0,0,0
0,57.195925,57.195925,0,0,0,0
0,57.195925,57.195925,0,0,0,0
0,57.195925,57.195925,0,0,0,0
0,57.195925,57.195925,0,0,0,0
0,57.195925,57.195925,0,0,0,0
0.001,10.532347,57.195925,1.2993795e-18,11.98425,5.5225364,40.97746
0.001,10.542713,57.195925,1.2547974e-18,11.979304,5.5242091,40.973937
0.001,10.544755,57.195925,1.3220381e-18,11.978558,5.5244937,40.973314
0.001,10.666847,57.195925,1.3219213e-18,1.3223473e-18,5.5437794,40.932124
0.001,10.392729,57.195925,1.3506073e-18,11.922295,5.5005203,41.023695
0.001,10.547515,57.195925,1.3271469e-18,1.3512586e-18,5.5248879,40.972464
0.001,10.532347,57.195925,1.1463709e-18,12.048416,5.5225364,40.97746
0.001,10.542713,57.195925,1.1475156e-18,1.1476088e-18,5.5242091,40.973937
0.001,10.544755,57.195925,1.2851118e-18,11.977361,5.5244937,40.973314
0.001,10.666847,57.195925,1.2993795e-18,11.98425,5.5437794,40.932124
0.001,10.392729,NA,1.2547974e-18,11.979304,5.5005203,41.023695
0.001,10.547515,NA,1.3220381e-18,11.978558,5.5248879,40.972464
0.001,NA,NA,1.3219213e-18,1.3223473e-18,NA,NA
0.001,NA,NA,1.3506073e-18,11.922295,NA,NA
0.001,NA,NA,1.3271469e-18,1.3512586e-18,NA,NA
0.001,NA,NA,1.1463709e-18,12.048416,NA,NA
0.001,NA,NA,1.1475156e-18,1.1476088e-18,NA,NA
0.001,NA,NA,1.2851118e-18,11.977361,NA,NA
0.001,NA,NA,NA,NA,NA,NA
0.001,NA,NA,NA,NA,NA,NA
0.001,NA,NA,NA,NA,NA,NA
0.001,NA,NA,NA,NA,NA,NA
0.001,NA,NA,NA,NA,NA,NA
0.001,NA,NA,NA,NA,NA,NA
0.001,NA,NA,NA,NA,NA,NA
0.002,12.214126,57.195925,9.3153739e-15,11.218385,5.8446598,40.016394
0.002,12.156473,57.195925,6.1921975e-15,6.1939269e-15,5.8353304,40.038777
0.002,11.55249,57.195925,6.1801766e-15,6.6891675e-15,5.7376661,40.268287
0.002,11.442314,57.195925,6.4768447e-15,11.24361,5.7198615,40.309062
0.002,11.079069,57.195925,4.9078416e-15,11.510744,5.6612446,40.44086
0.002,11.001841,57.195925,3.0302901e-15,11.560134,5.6487673,40.468368
0.002,10.961204,57.195925,2.7675775e-15,11.723941,5.6422615,40.482655
0.002,12.214126,57.195925,2.0781789e-15,11.759228,5.8446598,40.016394
0.002,12.156473,57.195925,1.9541875e-15,11.777359,5.8353304,40.038777
0.002,11.55249,57.195925,1.8994374e-15,11.218385,5.7376661,40.268287
0.002,11.442314,57.195925,9.3153739e-15,6.1939269e-15,5.7198615,40.309062
0.002,11.079069,57.195925,6.1921975e-15,6.6891675e-15,5.6612446,40.44086
0.002,11.001841,57.195925,6.1801766e-15,11.24361,5.6487673,40.468368
0.002,10.961204,57.195925,6.4768447e-15,11.510744,5.6422615,40.482655
0.002,NA,NA,4.9078416e-15,11.560134,NA,NA
0.002,NA,NA,3.0302901e-15,11.723941,NA,NA
0.002,NA,NA,2.7675775e-15,11.759228,NA,NA
0.002,NA,NA,2.0781789e-15,11.777359,NA,NA
0.002,NA,NA,1.9541875e-15,NA,NA,NA
0.002,NA,NA,1.8994374e-15,NA,NA,NA
0.002,NA,NA,NA,NA,NA,NA
0.002,NA,NA,NA,NA,NA,NA
0.002,NA,NA,NA,NA,NA,NA
0.002,NA,NA,NA,NA,NA,NA
0.002,NA,NA,NA,NA,NA,NA
0.003,11.07271,57.195925,2.9801426e-13,11.715986,5.7100111,40.106664
0.003,11.020526,57.195925,2.8753871e-13,11.739831,5.7014875,40.125267
0.003,11.007624,57.195925,2.8499685e-13,11.745914,5.6993284,40.12994
0.003,11.041488,57.195925,2.9149078e-13,11.730513,5.7048565,40.117888
0.003,11.072821,57.195925,2.9914179e-13,11.716198,5.709989,40.10669
0.003,11.09861,57.195925,3.0283332e-13,11.704553,5.7141884,40.097479
0.003,11.021667,57.195925,2.8762441e-13,11.738986,5.7016927,40.124821
0.003,10.978546,57.195925,2.7951521e-13,11.759077,5.6946125,40.140204
0.003,10.967259,57.195925,2.9801426e-13,11.764053,5.6927865,40.144128
0.003,11.07271,57.195925,2.8753871e-13,11.715986,5.7100111,40.106664
0.003,11.020526,57.195925,2.8499685e-13,11.739831,5.7014875,40.125267
0.003,11.007624,57.195925,2.9149078e-13,11.745914,5.6993284,40.12994
0.003,11.041488,57.195925,2.9914179e-13,11.730513,5.7048565,40.117888
0.003,11.072821,57.195925,3.0283332e-13,11.716198,5.709989,40.10669
0.003,11.09861,57.195925,2.8762441e-13,11.704553,5.7141884,40.097479
0.003,11.021667,57.195925,2.7951521e-13,11.738986,5.7016927,40.124821
0.003,10.978546,NA,NA,11.759077,5.6946125,40.140204
0.003,10.967259,NA,NA,11.764053,5.6927865,40.144128
0.003,NA,NA,NA,NA,NA,NA
0.003,NA,NA,NA,NA,NA,NA
0.003,NA,NA,NA,NA,NA,NA
0.003,NA,NA,NA,NA,NA,NA
0.003,NA,NA,NA,NA,NA,NA
0.003,NA,NA,NA,NA,NA,NA
0.003,NA,NA,NA,NA,NA,NA
0.004,11.094898,57.195921,1.2878408e-11,11.695211,5.7615385,39.772016
0.004,11.093152,57.195921,1.2862668e-11,11.695887,5.7612361,39.772629
0.004,11.099947,57.195921,1.291558e-11,11.692752,5.7623629,39.770188
0.004,11.091643,57.195921,1.2857567e-11,11.696869,5.7609605,39.773263
0.004,11.114916,57.195921,1.3032072e-11,11.686284,5.7648141,39.764902
0.004,11.088256,57.195921,1.2828197e-11,11.698131,5.7604461,39.77438
0.004,11.105247,57.195921,1.2962558e-11,11.690653,5.7632236,39.76836
0.004,11.066763,57.195922,1.2660684e-11,11.708169,5.7568497,39.782165
0.004,11.070375,57.195922,1.2690092e-11,11.706071,5.7574892,39.780773
0.004,11.094898,57.195921,1.2878408e-11,11.695211,5.7615385,39.772016
0.004,11.093152,57.195921,1.2862668e-11,11.695887,5.7612361,39.772629
0.004,11.099947,57.195921,1.291558e-11,11.692752,5.7623629,39.770188
0.004,11.091643,57.195921,1.2857567e-11,11.696869,5.7609605,39.773263
0.004,11.114916,57.195921,1.3032072e-11,11.686284,5.7648141,39.764902
0.004,11.088256,57.195921,1.2828197e-11,11.698131,5.7604461,39.77438
0.004,11.105247,57.195921,1.2962558e-11,11.690653,5.7632236,39.76836
0.004,11.066763,57.195921,1.2660684e-11,11.708169,5.7568497,39.782165
0.004,11.070375,57.195922,1.2690092e-11,11.706071,5.7574892,39.780773
0.004,NA,57.195922,NA,NA,NA,NA
0.004,NA,57.195921,NA,NA,NA,NA
0.004,NA,NA,NA,NA,NA,NA
0.004,NA,NA,NA,NA,NA,NA
0.004,NA,NA,NA,NA,NA,NA
0.004,NA,NA,NA,NA,NA,NA
0.004,NA,NA,NA,NA,NA,NA
0.005,11.054618,57.195901,2.3689682e-10,11.702662,5.8010124,39.468372
0.005,11.05395,57.195901,2.3677678e-10,11.703196,5.8008578,39.468676
0.005,11.052935,57.195901,2.3670906e-10,11.703499,5.8007453,39.468887
0.005,11.057716,57.195901,2.3735961e-10,11.701343,5.8015412,39.467181
0.005,11.057425,57.195901,2.3727807e-10,11.701532,5.8014762,39.467322
0.005,11.056843,57.195901,2.3722857e-10,11.701822,5.8013695,39.46756
0.005,11.057139,57.195901,2.3726745e-10,11.701712,5.8014082,39.467487
0.005,11.059368,57.195901,2.3747775e-10,11.700601,5.8017882,39.466704
0.005,11.05958,57.195901,2.3758488e-10,11.700126,5.801868,39.466538
0.005,11.054917,57.195901,2.369453e-10,11.702271,5.8010869,39.46821
0.005,11.051764,57.195901,2.3689682e-10,11.70418,5.8004912,39.469467
0.005,11.054618,57.195901,2.3677678e-10,11.702662,5.8010124,39.468372
0.005,11.05395,57.195901,2.3670906e-10,11.703196,5.8008578,39.468676
0.005,11.052935,57.195901,2.3735961e-10,11.703499,5.8007453,39.468887
0.005,11.057716,57.195901,2.3727807e-10,11.701343,5.8015412,39.467181
0.005,11.057425,57.195901,2.3722857e-10,11.701532,5.8014762,39.467322
0.005,11.056843,57.195901,2.3726745e-10,11.701822,5.8013695,39.46756
0.005,11.057139,57.195901,2.3747775e-10,11.701712,5.8014082,39.467487
0.005,11.059368,57.195901,2.3758488e-10,11.700601,5.8017882,39.466704
0.005,11.05958,57.195901,2.369453e-10,11.700126,5.801868,39.466538
0.005,11.054917,57.195901,NA,11.702271,5.8010869,39.46821
0.005,11.051764,57.195901,NA,11.70418,5.8004912,39.469467
0.005,NA,NA,NA,NA,NA,NA
0.005,NA,NA,NA,NA,NA,NA
0.005,NA,NA,NA,NA,NA,NA
0.006,11.01096,57.195822,2.4547997e-09,11.71155,5.8383314,39.173503
0.006,11.009489,57.195822,2.4533993e-09,11.712146,5.838091,39.174011
0.006,11.008739,57.195822,2.4522502e-09,11.712515,5.8379615,39.174284
0.006,11.00808,57.195822,2.4513834e-09,11.712923,5.8378375,39.174544
0.006,11.003895,57.195822,2.4465634e-09,11.715042,5.8371157,39.176034
0.006,11.005847,57.195822,2.4489195e-09,11.713964,5.8374905,39.175247
0.006,11.005374,57.195822,2.4486298e-09,11.713938,5.8374079,39.175448
0.006,11.006688,57.195822,2.4496866e-09,11.713572,5.8376004,39.175044
0.006,11.006663,57.195822,2.4493959e-09,11.713838,5.837551,39.175132
0.006,11.006582,57.195822,2.4496901e-09,11.713766,5.8375898,39.175018
0.006,11.007647,57.195822,2.4509237e-09,11.713193,5.8377898,39.174606
0.006,11.010135,57.195822,2.4539623e-09,11.712083,5.8382071,39.173721
0.006,11.01096,57.195822,2.4547997e-09,11.71155,5.8383314,39.173503
0.006,11.009489,57.195822,2.4533993e-09,11.712146,5.838091,39.174011
0.006,11.008739,57.195822,2.4522502e-09,11.712515,5.8379615,39.174284
0.006,11.00808,57.195822,2.4513834e-09,11.712923,5.8378375,39.174544
0.006,11.003895,57.195822,2.4465634e-09,11.715042,5.8371157,39.176034
0.006,11.005847,57.195822,2.4489195e-09,11.713964,5.8374905,39.175247
0.006,11.005374,57.195822,2.4486298e-09,11.713938,5.8374079,39.175448
