"q","b1.min","b1.max","b2.min","b2.max","b3.min","b3.max"
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.1,0.30556634,0.30556634,0.19419541,0.19419541,0.60445068,0.60445068
0.1,0.30556634,0.30556634,0.19419541,0.19419541,0.60445068,0.60445068
0.1,0.30556634,0.30556634,0.19419541,0.19419541,0.60445068,0.60445068
0.1,0.30556634,0.30556634,0.19419541,0.19419541,0.60445068,0.60445068
0.1,0.30556634,0.30556634,0.19419541,0.19419541,0.60445068,0.60445068
0.1,0.30556634,0.30556634,0.19419541,0.19419541,0.60445068,0.60445068
0.1,0.30556634,0.30556634,0.19419541,0.19419541,0.60445068,0.60445068
0.1,0.30556634,0.30556634,0.19419541,0.19419541,0.60445068,0.60445068
0.1,0.30556634,0.30556634,0.19419541,0.19419541,0.60445068,0.60445068
0.1,0.30556634,0.30556634,0.19419541,0.19419541,0.60445068,0.60445068
0.1,0.30556634,0.30556634,0.19419541,0.19419541,0.60445068,0.60445068
0.1,0.30556634,0.30556634,0.19419541,0.19419541,0.60445068,0.60445068
0.1,0.30556634,0.30556634,0.19419541,0.19419541,0.60445068,0.60445068
0.1,0.30556634,0.30556634,0.19419541,0.19419541,0.60445068,0.60445068
0.1,0.30556634,0.30556634,0.19419541,0.19419541,0.60445068,0.60445068
0.1,0.30556634,0.30556634,0.19419541,0.19419541,0.60445068,0.60445068
0.1,0.30556634,0.30556634,0.19419541,0.19419541,0.60445068,0.60445068
0.1,0.30556634,0.30556634,0.19419541,0.19419541,0.60445068,0.60445068
0.1,0.30556634,0.30556634,0.19419541,0.19419541,0.60445068,0.60445068
0.1,0.30556634,0.30556634,0.19419541,0.19419541,0.60445068,0.60445068
0.1,0.30556634,0.30556634,0.19419541,0.19419541,0.60445068,0.60445068
0.1,0.30556634,0.30556634,0.19419541,0.19419541,0.60445068,0.60445068
0.1,0.30556634,0.30556634,0.19419541,0.19419541,0.60445068,0.60445068
0.1,0.30556634,0.30556634,0.19419541,0.19419541,0.60445068,0.60445068
0.1,0.30556634,0.30556634,0.19419541,0.19419541,0.60445068,0.60445068
0.2,0.73061217,0.73061217,0.19419541,0.19419541,2.176095,2.176095
0.2,0.73061217,0.73061217,0.19419541,0.19419541,2.176095,2.176095
0.2,0.73061217,0.73061217,0.19419541,0.19419541,2.176095,2.176095
0.2,0.73061217,0.73061217,0.19419541,0.19419541,2.176095,2.176095
0.2,0.73061217,0.73061217,0.19419541,0.19419541,2.176095,2.176095
0.2,0.73061217,0.73061217,0.19419541,0.19419541,2.176095,2.176095
0.2,0.73061217,0.73061217,0.19419541,0.19419541,2.176095,2.176095
0.2,0.73061217,0.73061217,0.19419541,0.19419541,2.176095,2.176095
0.2,0.73061217,0.73061217,0.19419541,0.19419541,2.176095,2.176095
0.2,0.73061217,0.73061217,0.19419541,0.19419541,2.176095,2.176095
0.2,0.73061217,0.73061217,0.19419541,0.19419541,2.176095,2.176095
0.2,0.73061217,0.73061217,0.19419541,0.19419541,2.176095,2.176095
0.2,0.73061217,0.73061217,0.19419541,0.19419541,2.176095,2.176095
0.2,0.73061217,0.73061217,0.19419541,0.19419541,2.176095,2.176095
0.2,0.73061217,0.73061217,0.19419541,0.19419541,2.176095,2.176095
0.2,0.73061217,0.73061217,0.19419541,0.19419541,2.176095,2.176095
0.2,0.73061217,0.73061217,0.19419541,0.19419541,2.176095,2.176095
0.2,0.73061217,0.73061217,0.19419541,0.19419541,2.176095,2.176095
0.2,0.73061217,0.73061217,0.19419541,0.19419541,2.176095,2.176095
0.2,0.73061217,0.73061217,0.19419541,0.19419541,2.176095,2.176095
0.2,0.73061217,0.73061217,0.19419541,0.19419541,2.176095,2.176095
0.2,0.73061217,0.73061217,0.19419541,0.19419541,2.176095,2.176095
0.2,0.73061217,0.73061217,0.19419541,0.19419541,2.176095,2.176095
0.2,0.73061217,0.73061217,0.19419541,0.19419541,2.176095,2.176095
0.2,0.73061217,0.73061217,0.19419541,0.19419541,2.176095,2.176095
0.3,1.1737148,1.1737148,0.19419541,0.19419541,3.5553218,3.5553218
0.3,1.1737148,1.1737148,0.19419541,0.19419541,3.5553218,3.5553218
0.3,1.1737148,1.1737148,0.19419541,0.19419541,3.5553218,3.5553218
0.3,1.1737148,1.1737148,0.19419541,0.19419541,3.5553218,3.5553218
0.3,1.1737148,1.1737148,0.19419541,0.19419541,3.5553218,3.5553218
0.3,1.1737148,1.1737148,0.19419541,0.19419541,3.5553218,3.5553218
0.3,1.1737148,1.1737148,0.19419541,0.19419541,3.5553218,3.5553218
0.3,1.1737148,1.1737148,0.19419541,0.19419541,3.5553218,3.5553218
0.3,1.1737148,1.1737148,0.19419541,0.19419541,3.5553218,3.5553218
0.3,1.1737148,1.1737148,0.19419541,0.19419541,3.5553218,3.5553218
0.3,1.1737148,1.1737148,0.19419541,0.19419541,3.5553218,3.5553218
0.3,1.1737148,1.1737148,0.19419541,0.19419541,3.5553218,3.5553218
0.3,1.1737148,1.1737148,0.19419541,0.19419541,3.5553218,3.5553218
0.3,1.1737148,1.1737148,0.19419541,0.19419541,3.5553218,3.5553218
0.3,1.1737148,1.1737148,0.19419541,0.19419541,3.5553218,3.5553218
0.3,1.1737148,1.1737148,0.19419541,0.19419541,3.5553218,3.5553218
0.3,1.1737148,1.1737148,0.19419541,0.19419541,3.5553218,3.5553218
0.3,1.1737148,1.1737148,0.19419541,0.19419541,3.5553218,3.5553218
0.3,1.1737148,1.1737148,0.19419541,0.19419541,3.5553218,3.5553218
0.3,1.1737148,1.1737148,0.19419541,0.19419541,3.5553218,3.5553218
0.3,1.1737148,1.1737148,0.19419541,0.19419541,3.5553218,3.5553218
0.3,1.1737148,1.1737148,0.19419541,0.19419541,3.5553218,3.5553218
0.3,1.1737148,1.1737148,0.19419541,0.19419541,3.5553218,3.5553218
0.3,1.1737148,1.1737148,0.19419541,0.19419541,3.5553218,3.5553218
0.3,1.1737148,1.1737148,0.19419541,0.19419541,3.5553218,3.5553218
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
0.4,1.6325574,1.6325574,0.19419541,0.19419541,4.7669242,4.7669242
