"patch" "rep" "nut" "loss" "ampl"
"1" 1 1 20 0.001 "0"
"2" 2 1 20 0.001 "0"
"3" 1 1 20 0.051 "0"
"4" 2 1 20 0.051 "0"
"5" 1 1 20 0.101 "0"
"6" 2 1 20 0.101 "0"
"7" 1 1 20 0.151 "0"
"8" 2 1 20 0.151 "0"
"9" 1 1 20 0.201 "0"
"10" 2 1 20 0.201 "0"
"11" 1 1 20 0.251 "0"
"12" 2 1 20 0.251 "1.00000000102796e-06"
"13" 1 1 20 0.301 "0"
"14" 2 1 20 0.301 "0"
"15" 1 1 20 0.351 "0"
"16" 2 1 20 0.351 "0"
"17" 1 1 20 0.401 "1.0000000116861e-07"
"18" 2 1 20 0.401 "0"
"19" 1 1 20 0.451 "0.00310383999999992"
"20" 2 1 20 0.451 "0.0162989199999998"
"21" 1 1 20 0.501 "4.488327864"
"22" 2 1 20 0.501 "25.425127512"
"23" 1 1 20 0.551 "6.177543056"
"24" 2 1 20 0.551 "38.956461728"
"25" 1 1 20 0.601 "6.294823676"
"26" 2 1 20 0.601 "45.754732912"
"27" 1 1 20 0.651 "6.006707728"
"28" 2 1 20 0.651 "51.438163396"
"29" 1 1 20 0.701 "5.345551164"
"30" 2 1 20 0.701 "55.67178082"
"31" 1 1 20 0.751 "3.9979885496"
"32" 2 1 20 0.751 "52.83880388"
"33" 1 1 20 0.801 "NA"
"34" 2 1 20 0.801 "NA"
"35" 1 1 20 0.851 "NA"
"36" 2 1 20 0.851 "NA"
"37" 1 1 20 0.901 "NA"
"38" 2 1 20 0.901 "NA"
"39" 1 1 20 0.951 "NA"
"40" 2 1 20 0.951 "NA"
"41" 1 1 19 0.001 "0"
"42" 2 1 19 0.001 "0"
"43" 1 1 19 0.051 "0"
"44" 2 1 19 0.051 "0"
"45" 1 1 19 0.101 "0"
"46" 2 1 19 0.101 "0"
"47" 1 1 19 0.151 "0"
"48" 2 1 19 0.151 "0"
"49" 1 1 19 0.201 "0"
"50" 2 1 19 0.201 "0"
"51" 1 1 19 0.251 "0"
"52" 2 1 19 0.251 "0"
"53" 1 1 19 0.301 "0"
"54" 2 1 19 0.301 "0"
"55" 1 1 19 0.351 "0"
"56" 2 1 19 0.351 "0"
"57" 1 1 19 0.401 "0"
"58" 2 1 19 0.401 "0"
"59" 1 1 19 0.451 "0"
"60" 2 1 19 0.451 "9.99999997475243e-07"
"61" 1 1 19 0.501 "1.14799999977322e-06"
"62" 2 1 19 0.501 "4.99999999973966e-06"
"63" 1 1 19 0.551 "0.0138436280000001"
"64" 2 1 19 0.551 "0.0684603199999997"
"65" 1 1 19 0.601 "2.666869924"
"66" 2 1 19 0.601 "15.6496152"
"67" 1 1 19 0.651 "3.55819012"
"68" 2 1 19 0.651 "25.104289056"
"69" 1 1 19 0.701 "3.638363384"
"70" 2 1 19 0.701 "32.26501496"
"71" 1 1 19 0.751 "3.702757612"
"72" 2 1 19 0.751 "43.625420008"
"73" 1 1 19 0.801 "0"
"74" 2 1 19 0.801 "0"
"75" 1 1 19 0.851 "0"
"76" 2 1 19 0.851 "0"
"77" 1 1 19 0.901 "0"
"78" 2 1 19 0.901 "0"
"79" 1 1 19 0.951 "0"
"80" 2 1 19 0.951 "0"
"81" 1 1 18 0.001 "0"
"82" 2 1 18 0.001 "0"
"83" 1 1 18 0.051 "0"
"84" 2 1 18 0.051 "0"
"85" 1 1 18 0.101 "0"
"86" 2 1 18 0.101 "0"
"87" 1 1 18 0.151 "0"
"88" 2 1 18 0.151 "0"
"89" 1 1 18 0.201 "0"
"90" 2 1 18 0.201 "0"
"91" 1 1 18 0.251 "0"
"92" 2 1 18 0.251 "0"
"93" 1 1 18 0.301 "0"
"94" 2 1 18 0.301 "0"
"95" 1 1 18 0.351 "0"
"96" 2 1 18 0.351 "0"
"97" 1 1 18 0.401 "0"
"98" 2 1 18 0.401 "0"
"99" 1 1 18 0.451 "0"
"100" 2 1 18 0.451 "0"
"101" 1 1 18 0.501 "1.00000000102796e-06"
"102" 2 1 18 0.501 "0"
"103" 1 1 18 0.551 "0"
"104" 2 1 18 0.551 "1.00000000102796e-06"
"105" 1 1 18 0.601 "0.000767616000000118"
"106" 2 1 18 0.601 "0.00326236000000009"
"107" 1 1 18 0.651 "2.256748968"
"108" 2 1 18 0.651 "12.62102952"
"109" 1 1 18 0.701 "3.017104812"
"110" 2 1 18 0.701 "24.823632968"
"111" 1 1 18 0.751 "2.883618208"
"112" 2 1 18 0.751 "36.7589897"
"113" 1 1 18 0.801 "3.243304668"
"114" 2 1 18 0.801 "49.668983288"
"115" 1 1 18 0.851 "2.222245468"
"116" 2 1 18 0.851 "46.344596388"
"117" 1 1 18 0.901 "1.210326016"
"118" 2 1 18 0.901 "42.4717609812"
"119" 1 1 18 0.951 "0"
"120" 2 1 18 0.951 "0"
