"patch" "rep" "nut" "loss" "div"
"1" 3 1 20 0.001 5
"2" 1 1 20 0.001 2
"3" 2 1 20 0.001 3
"4" 3 1 20 0.051 5
"5" 1 1 20 0.051 2
"6" 2 1 20 0.051 3
"7" 3 1 20 0.101 5
"8" 1 1 20 0.101 2
"9" 2 1 20 0.101 3
"10" 3 1 20 0.151 5
"11" 1 1 20 0.151 2
"12" 2 1 20 0.151 3
"13" 3 1 20 0.201 5
"14" 1 1 20 0.201 2
"15" 2 1 20 0.201 3
"16" 3 1 20 0.251 5
"17" 1 1 20 0.251 2
"18" 2 1 20 0.251 3
"19" 3 1 20 0.301 5
"20" 1 1 20 0.301 2
"21" 2 1 20 0.301 3
"22" 3 1 20 0.351 5
"23" 1 1 20 0.351 2
"24" 2 1 20 0.351 3
"25" 3 1 20 0.401 5
"26" 1 1 20 0.401 2
"27" 2 1 20 0.401 3
"28" 3 1 20 0.451 5
"29" 1 1 20 0.451 2
"30" 2 1 20 0.451 3
"31" 3 1 20 0.501 5
"32" 1 1 20 0.501 2
"33" 2 1 20 0.501 3
"34" 3 1 20 0.551 5
"35" 1 1 20 0.551 2
"36" 2 1 20 0.551 3
"37" 3 1 20 0.601 5
"38" 1 1 20 0.601 2
"39" 2 1 20 0.601 3
"40" 3 1 20 0.651 5
"41" 1 1 20 0.651 2
"42" 2 1 20 0.651 3
"43" 3 1 20 0.701 5
"44" 1 1 20 0.701 2
"45" 2 1 20 0.701 3
"46" 3 1 20 0.751 5
"47" 1 1 20 0.751 2
"48" 2 1 20 0.751 3
"49" 3 1 20 0.801 0
"50" 1 1 20 0.801 0
"51" 2 1 20 0.801 0
"52" 3 1 20 0.851 0
"53" 1 1 20 0.851 0
"54" 2 1 20 0.851 0
"55" 3 1 20 0.901 0
"56" 1 1 20 0.901 0
"57" 2 1 20 0.901 0
"58" 3 1 20 0.951 0
"59" 1 1 20 0.951 0
"60" 2 1 20 0.951 0
"61" 3 1 19 0.001 6
"62" 1 1 19 0.001 3
"63" 2 1 19 0.001 3
"64" 3 1 19 0.051 6
"65" 1 1 19 0.051 3
"66" 2 1 19 0.051 3
"67" 3 1 19 0.101 6
"68" 1 1 19 0.101 3
"69" 2 1 19 0.101 3
"70" 3 1 19 0.151 6
"71" 1 1 19 0.151 3
"72" 2 1 19 0.151 3
"73" 3 1 19 0.201 6
"74" 1 1 19 0.201 3
"75" 2 1 19 0.201 3
"76" 3 1 19 0.251 6
"77" 1 1 19 0.251 3
"78" 2 1 19 0.251 3
"79" 3 1 19 0.301 6
"80" 1 1 19 0.301 3
"81" 2 1 19 0.301 3
"82" 3 1 19 0.351 6
"83" 1 1 19 0.351 3
"84" 2 1 19 0.351 3
"85" 3 1 19 0.401 6
"86" 1 1 19 0.401 3
"87" 2 1 19 0.401 3
"88" 3 1 19 0.451 6
"89" 1 1 19 0.451 3
"90" 2 1 19 0.451 3
"91" 3 1 19 0.501 6
"92" 1 1 19 0.501 3
"93" 2 1 19 0.501 3
"94" 3 1 19 0.551 6
"95" 1 1 19 0.551 3
"96" 2 1 19 0.551 3
"97" 3 1 19 0.601 6
"98" 1 1 19 0.601 3
"99" 2 1 19 0.601 3
"100" 3 1 19 0.651 6
"101" 1 1 19 0.651 3
"102" 2 1 19 0.651 3
"103" 3 1 19 0.701 6
"104" 1 1 19 0.701 3
"105" 2 1 19 0.701 3
"106" 3 1 19 0.751 6
"107" 1 1 19 0.751 3
"108" 2 1 19 0.751 3
"109" 3 1 19 0.801 4
"110" 1 1 19 0.801 3
"111" 2 1 19 0.801 1
"112" 3 1 19 0.851 4
"113" 1 1 19 0.851 3
"114" 2 1 19 0.851 1
"115" 3 1 19 0.901 4
"116" 1 1 19 0.901 3
"117" 2 1 19 0.901 1
"118" 3 1 19 0.951 4
"119" 1 1 19 0.951 3
"120" 2 1 19 0.951 1
"121" 3 1 18 0.001 6
"122" 1 1 18 0.001 3
"123" 2 1 18 0.001 3
"124" 3 1 18 0.051 6
"125" 1 1 18 0.051 3
"126" 2 1 18 0.051 3
"127" 3 1 18 0.101 6
"128" 1 1 18 0.101 3
"129" 2 1 18 0.101 3
"130" 3 1 18 0.151 6
"131" 1 1 18 0.151 3
"132" 2 1 18 0.151 3
"133" 3 1 18 0.201 6
"134" 1 1 18 0.201 3
"135" 2 1 18 0.201 3
"136" 3 1 18 0.251 6
"137" 1 1 18 0.251 3
"138" 2 1 18 0.251 3
"139" 3 1 18 0.301 6
"140" 1 1 18 0.301 3
"141" 2 1 18 0.301 3
"142" 3 1 18 0.351 6
"143" 1 1 18 0.351 3
"144" 2 1 18 0.351 3
"145" 3 1 18 0.401 6
