body.mass, if.basal.spp, D_Max_i, Nutr.halfsat.dens1, Nurt.halfsat.dens2
1.73355016, 1, 0.146988548, 0.129701836, 0.10652865
3.39589201, 1, 0.0806972908, 0.128786882, 0.142812233
5.96340417, 1, 0.187469433, 0.111619332, 0.109653092
16.6695355, 1, 0.256162691, 0.118172704, 0.112715997
30.388588, 1, 0.261706473, 0.149428977, 0.159674531
32.7897622, 1, 0.193227933, 0.156576513, 0.1226012
43.5132928, 1, 0.317235897, 0.122183517, 0.110694568
346.485029, 1, 0.202094687, 0.176749118, 0.122030621
364.691694, 1, 0.265224718, 0.157730807, 0.134982629
810.769164, 1, 0.15475706, 0.116782331, 0.146778749
126.971109, 0, 0.255414317, 0, 0
301.857642, 0, 0.266716633, 0, 0
345.397961, 0, 0.268519593, 0, 0
414.673901, 0, 0.270985047, 0, 0
546.713064, 0, 0.274756493, 0, 0
549.956483, 0, 0.274837765, 0, 0
658.55878, 0, 0.277325445, 0, 0
1167.64038, 0, 0.285381257, 0, 0
1579.86038, 0, 0.289728306, 0, 0
1914.89844, 0, 0.29252789, 0, 0
2095.74907, 0, 0.293850853, 0, 0
4802.54238, 0, 0.306290518, 0, 0
5511.75079, 0, 0.308407173, 0, 0
8689.53196, 0, 0.315507589, 0, 0
8723.759, 0, 0.315569611, 0, 0
9868.35287, 0, 0.317520833, 0, 0
11332.1541, 0, 0.319724278, 0, 0
13078.8139, 0, 0.322024125, 0, 0
15799.7387, 0, 0.325081673, 0, 0
22242.7211, 0, 0.330688725, 0, 0
29997.4185, 0, 0.335671281, 0, 0
30516.5429, 0, 0.33595937, 0, 0
33958.6895, 0, 0.337759472, 0, 0
53963.9809, 0, 0.345672786, 0, 0
62438.255, 0, 0.348203017, 0, 0
75686.2388, 0, 0.351569214, 0, 0
138465.185, 0, 0.362348961, 0, 0
187459.256, 0, 0.367879287, 0, 0
532308.565, 0, 0.387586074, 0, 0
617906.044, 0, 0.390486581, 0, 0
