patch, X.Koord, Y.Koord, Area
0, 0.999702213, 0.0428012335, 8400000
1, 0.0251773966, 0.0530569961, 2300000
2, 0.625998596, 0.0555414702, 1600000
3, 0.403017196, 0.766818106, 3000000
4, 0.546008395, 0.129302009, 7400000
5, 0.123135088, 0.760027861, 3700000
6, 0.926088007, 0.552097074, 2900000
7, 0.83753065, 0.629037932, 5000000
8, 0.56522975, 0.665014535, 8200000
9, 0.542913276, 0.421869478, 6500000
10, 0.479419555, 0.449900907, 1900000
11, 0.930611997, 0.614179921, 1000000
12, 0.155811654, 0.412066479, 9200000
13, 0.0685764838, 0.711445518, 2100000
14, 0.875419938, 0.0429414778, 7400000
15, 0.851369353, 0.941096533, 6000000
16, 0.813783448, 0.40124223, 5800000
17, 0.572198194, 0.0616113523, 4500000
18, 0.963341929, 0.365727606, 8300000
19, 0.450740054, 0.105228953, 10000000
20, 0.586123018, 0.723596602, 2500000
21, 0.881560107, 0.417197137, 2700000
22, 0.05391558, 0.750190908, 8400000
23, 0.952618004, 0.653566963, 2600000
24, 0.207261144, 0.428048476, 6200000
25, 0.693218695, 0.487504131, 4200000
26, 0.177587226, 0.0804369349, 4900000
27, 0.200069242, 0.66160045, 900000
28, 0.664242501, 0.761383278, 1200000
29, 0.307348726, 0.0366786062, 5200000
30, 0.670892896, 0.714365075, 2800000
31, 0.790064675, 0.308411035, 6300000
32, 0.975646292, 0.894890096, 3300000
33, 0.24435643, 0.25937615, 7700000
34, 0.168580124, 0.300600319, 9800000
35, 0.0334121068, 0.705595787, 8800000
36, 0.659826669, 0.783411922, 8800000
37, 0.909242258, 0.582958224, 200000
38, 0.673703846, 0.904140024, 2100000
39, 0.219053308, 0.489713309, 4000000
40, 0.696305554, 0.828252156, 1200000
41, 0.755878844, 0.202364481, 3000000
42, 0.386358396, 0.675502536, 4900000
43, 0.0265210385, 0.617488532, 600000
44, 0.300771719, 0.122104508, 3600000
45, 0.800959284, 0.191001005, 5300000
46, 0.765223739, 0.54646392, 8800000
47, 0.484614642, 0.794881217, 8100000
48, 0.494798837, 0.897886532, 900000
49, 0.626948799, 0.670022174, 7700000
